Línea seleccionada;Orden;Clase de orden;Fecha de inicio extrema;Alerta;Texto breve;Alerta Com;Tipo de orden;Moneda;Autor;Fecha entrada;Modificado por;Fecha modific.maestro orden;Existe texto explic.;Sociedad;Centro;División;Sociedad CO;CeCo responsable;Petición de borrado;Esquema cálc.coste;Clave de recargo;Indicador ABC;Campo de clasificación;Prioridad;Equipo;Conjunto;Estado instalación;Centro planificación;Grupo planificación;Pto.tbjo.responsable;Ctro.pto.trab.;Cliente;Disponible hst.fecha;Disponible dsd fecha;Disponible hst.hora;Disponible dsd hora;Centro de coste;Centro emplazamiento;Emplazamiento;Local;Área de empresa;Ubicación técnica;Activo fijo;Subnúmero;Revisión;Plan mant.preventivo;Posición mantenim.;Status del sistema;Status de usuario;Puesto de trabajo;Fecha fin extrema;Fin programado;Inicio programado;Fecha inicio real;Fecha real de fin de la orden;Fe.liberación real;Clase actividad PM;Aviso;Histórico desde;Denominación de objeto técnico;Denominación de la ubicación técnica;Lista;Teléfono;Código postal;Población;Distrito;Clave de país;Departamento;Calle;Costes tot.reales;Suma de costes plan;Tot.costes facturac.;Ingresos tot. real;Ingr. totales plan;Total general (real);Tota general (plan);Nº objeto;Documento de ventas;Posición;Orden principal;Orden superior;Fin real (hora);Hora inicio real;Hora de fin progr.;Hora de inicio prog.;Grupo hojas ruta;Cont.grupo HRuta;Ind.planif.orden;Fecha de referencia;Elemento PEP;Subgrafo;Operación superior;Tot. Avisos;Organización ventas;Canal distribución;Sector;Hora de fin extrema;Hora inicio extrema;Hora de referencia;Criterio p.cálculo;Nº dirección;Material;Número de serie;Dat.adic.disposit.;Oficina de ventas;Grupo de vendedores;Texto breve de material;Denominación del conjunto;Status paging;Cabecera orden PEP;Reserva/Sol.pedido;Clase prioridad;Texto para prioridad;Nº de pedido;Fecha de pedido;Producto de servicio;Denominación producto servicio;Cantidad;Unidad medida base;Forma de facturación;Gr.planif.mantenimiento HRuta;Centro de beneficio;Elemento refer.PM/PS;Organización ventas - Comercial;Canal distribución - Comercial;Sector - Comercial;Indicador ABC;Nro Moc;Revision 2;Revision 3;Fecha;Proyecto
;20005802;PM15;30/3/2011;;Pliego obras civiles plantas Paysandú;;30;UYU;MALDAMA;31/3/2011;MSABATIN;22/3/2021;S;ANC1;C002;10;ANC1;103408;;PP-PC1;;;EQUIPO MECÁNICO ESTÁTICO;4;;;;C002;CME;ARQUITEC;C002;;;;0:00:00;0:00:00;105090;C002;;;;AN-SCOMPA-INGEDI;;;;;;CTEC NOTP KKMP MOVM NLIQ PREC;FINA;;;3/1/2012;29/12/2011;19/12/2011;;29/12/2011;MAN;10098691;;;Infraestructura General Edificio Central;;;;;;;;;5951953,73;3802,43;0;0;0;5951953,73;3802,43;OR000020005802;;0;;;0:00:00;0:00:00;15:00:00;7:00:00;;;;22/3/2021;;;;1;;;;0:00:00;0:00:00;9:00:31;;;;;;;;;;;;3;ME;O4 - Blanco [Baja];;;;;0;;;;;;;;;;;;;;
;20005803;PM15;30/3/2011;;Impermeabilización edificio Pta Paysandú;;30;UYU;MALDAMA;31/3/2011;MSABATIN;22/3/2021;S;ANC1;C002;10;ANC1;103408;;PP-PC1;;;EQUIPO MECÁNICO ESTATICO;4;;;;C002;CME;ARQUITEC;C002;;;;0:00:00;0:00:00;103408;C002;;;;AN-SGENER-MANEDI-ARQUIT;;;;;;CTEC KKMP NLIQ PREC;CANC;;;31/3/2011;31/3/2011;;;22/3/2021;MAN;10098692;;;Taller de Staff Gerencia;;;;;;;;;0;0;0;0;0;0;0;OR000020005803;;0;;;0:00:00;0:00:00;7:00:00;7:00:00;;;;22/3/2021;;;;1;;;;0:00:00;0:00:00;9:00:56;;;;;;;;;;;;3;ME;O4 - Blanco [Baja];;;;;0;;;;;;;;;;;;;;
;20005906;PM15;17/2/2011;;Cent. Termica:reacond. baño para damas;;30;UYU;GGIAGNACOVO;7/4/2011;MSABATIN;22/3/2021;S;ANC1;C002;10;ANC1;103410;;PP-PC1;;;;3;;;;C002;CME;PMA;C002;;;;0:00:00;0:00:00;203020;C001;;;A_3;RT-CT;;;;;;CTEC KKMP MMGO NLIQ PREC;FINA;;28/4/2011;7/4/2011;7/4/2011;;;22/3/2021;MAN;10096775;;;Central Térmica;;;;;;;;;0;375,44;0;0;0;0;375,44;OR000020005906;;0;20005906;;0:00:00;0:00:00;7:40:00;7:00:00;;;;22/3/2021;;;;1;;;;0:00:00;0:00:00;9:01:42;;;;;;;;;;;;3;ME;O3 - Amarillo [Med];;;;;0;;;;;;;;;;;;;;
;20005911;PM15;6/4/2011;;Rep. linea agua Planta Capurro.-;;30;UYU;MALDAMA;7/4/2011;MSABATIN;22/3/2021;S;ANC1;C002;10;ANC1;103403;;PP-PC1;;;EQUIPO MECÁNICO ESTATICO;4;;;;C002;CME;SANITARI;C002;;;;0:00:00;0:00:00;105501;C002;;;;AN-COMPRA-COMCOR;;;;;;CTEC KKMP NLIQ PREC;CANC;;;7/4/2011;7/4/2011;;;22/3/2021;MAN;10099051;;;Compras Corporativas Centro;;;;;;;;;0;0;0;0;0;0;0;OR000020005911;;0;;;0:00:00;0:00:00;7:00:00;7:00:00;;;;22/3/2021;;;;1;;;;0:00:00;0:00:00;9:02:10;;;;;;;;;;;;3;ME;O4 - Blanco [Baja];;;;;0;;;;;;;;;;;;;;
;20006066;PM15;25/4/2011;;Colocar visagra Sala de Reuniones;;30;UYU;MALDAMA;25/4/2011;JSIMO;15/4/2021;S;ANC1;C002;10;ANC1;103404;;PP-PC1;;;EQUIPO MECÁNICO ESTATICO;4;;;;C002;CME;CARPINTE;C002;;;;0:00:00;0:00:00;105070;C002;;;;AN-SCOMPA-TINFOR;;;;;;BLOQ CERR NOTP KKMP NLIQ PREC;FINA;;26/4/2011;15/4/2021;15/4/2021;29/4/2011;;27/4/2011;MAN;10114695;;;Tecnologia de la Informacion;;;;;;;;;1654,44;4032,8;0;0;0;1654,44;4032,8;OR000020006066;;0;;;0:00:00;0:00:00;7:40:00;7:00:00;;;;15/4/2021;;;;1;;;;0:00:00;0:00:00;12:24:28;;;;;;;;;;;;3;ME;O4 - Blanco [Baja];;;;;0;;;;;;;;;;;;;;
;20006330;PM15;12/5/2011;;INTENDENCIA: MODIFICAR OFICINA JAFATURA;;30;UYU;MALDAMA;13/5/2011;MSABATIN;22/3/2021;S;ANC1;C002;20;ANC1;103408;;PP-PC1;;;EQUIPO MECÁNICO ESTATICO;4;;;;C002;PRY;ARQUITEC;C002;;;;0:00:00;0:00:00;105505;C001;;;;AN-SGENER-INTEND;;;;;;CTEC KKMP NLIQ PREC;CANC;;;13/5/2011;13/5/2011;;;22/3/2021;MAN;10115520;;;Intendencia;;;;;;;;;0;0;0;0;0;0;0;OR000020006330;;0;;;0:00:00;0:00:00;7:00:00;7:00:00;;;;22/3/2021;;;;1;;;;0:00:00;0:00:00;9:02:38;;;;;;;;;;;;3;ME;O4 - Blanco [Baja];;;;;0;;;;;;;;;;;;;;
;20006422;PM15;20/5/2011;;Obra reciclaje Caserío de los Negros;;30;UYU;MALDAMA;21/5/2011;MSABATIN;22/3/2021;S;ANC1;C002;10;ANC1;103408;;PP-PC1;;;EQUIPO MECÁNICO ESTÁTICO;1;;;;C002;CME;ARQUITEC;C002;;;;0:00:00;0:00:00;105090;C002;;;;AN-SCOMPA-INGEDI;;;;;;CTEC NOTP MOVM NLIQ PREC;FINA;;;25/7/2011;25/7/2011;28/7/2011;;19/7/2011;MAN;10116132;;;Infraestructura General Edificio Central;;;;;;;;;27053977,37;6306,2;0;0;0;27053977,37;6306,2;OR000020006422;;0;;;0:00:00;0:00:00;11:00:00;7:00:00;;;;22/3/2021;;;;1;;;;0:00:00;0:00:00;9:02:55;;;;;;;;;;;;3;ME;O1 - Rojo [Priorita];;;;;0;;;;;;;;;;;;;;
;20006489;PM15;25/5/2011;;INT.CONFECCION DE CARTEL Y SOPORTES;;30;UYU;MALDAMA;26/5/2011;JSIMO;16/6/2021;S;ANC1;C002;10;ANC1;;;PP-PC1;;;EQUIPO MECÁNICO ESTATICO;4;;;;C002;CME;CARPINTE;C002;;;;0:00:00;0:00:00;105700;C002;;;;LT-SGENER-GUARDE;;;;;;CTEC KKMP NLIQ PREC;CANC;;;26/5/2011;26/5/2011;;;16/6/2021;MAN;10116258;;;Guarderia Teja;;;;;;;;;426,35;0;0;0;0;426,35;0;OR000020006489;;0;;;0:00:00;0:00:00;7:00:00;7:00:00;;;;16/6/2021;;;;1;;;;0:00:00;0:00:00;11:53:14;;;;;;;;;;;;3;ME;O4 - Blanco [Baja];;;;;0;;;;;;;;;;;;;;
;20006570;PM15;31/5/2011;;Comodato Paysandú;;30;UYU;MALDAMA;31/5/2011;JSIMO;27/4/2021;S;ANC1;C002;10;ANC1;103408;;PP-PC1;;;EQUIPO MECÁNICO ESTATICO;4;;;;C002;CME;ARQUITEC;C002;;;;0:00:00;0:00:00;103408;C002;;;;AN-SGENER-MANEDI-ARQUIT;;;;;;CTEC NOTP KKMP NLIQ PREC;FINA;;;7/7/2011;29/6/2011;1/6/2011;;29/6/2011;MAN;10116626;;;Taller de Staff Gerencia;;;;;;;;;26697,3;45559,2;0;0;0;26697,3;45559,2;OR000020006570;;0;;;0:00:00;0:00:00;12:20:00;7:00:00;;;;27/4/2021;;;;1;;;;0:00:00;0:00:00;9:32:12;;;;;;;;;;;;3;ME;O4 - Blanco [Baja];;;;;0;;;;;;;;;;;;;;
;20006571;PM15;31/5/2011;;Intendencia Municipal de Paysandú;;30;UYU;MALDAMA;31/5/2011;JSIMO;27/4/2021;S;ANC1;C002;10;ANC1;103408;;PP-PC1;;;EQUIPO MECÁNICO ESTATICO;4;;;;C002;CME;ARQUITEC;C002;;;;0:00:00;0:00:00;103408;C002;;;;AN-SGENER-MANEDI-ARQUIT;;;;;;CTEC NOTP KKMP NLIQ PREC;FINA;;;7/7/2011;29/6/2011;2/6/2011;;29/6/2011;MAN;10116627;;;Taller de Staff Gerencia;;;;;;;;;11717,3;45559,2;0;0;0;11717,3;45559,2;OR000020006571;;0;;;0:00:00;0:00:00;12:20:00;7:00:00;;;;27/4/2021;;;;1;;;;0:00:00;0:00:00;9:32:42;;;;;;;;;;;;3;ME;O4 - Blanco [Baja];;;;;0;;;;;;;;;;;;;;
;20006745;PM15;3/6/2011;;Arreglos edificio Comercializacion;;30;UYU;ACQUISTAPACE;18/6/2011;MSABATIN;15/3/2021;S;ANC1;C002;20;ANC1;;;PP-PC1;;;;4;;;;C002;CME;PMA;C002;;;;0:00:00;0:00:00;205300;C001;;;;LT-COMERC;;;;;;CTEC KKMP NLIQ PREC;CANC;;;20/6/2011;20/6/2011;;;15/3/2021;MAN;10116935;;;División Comercialización;;;;;;;;;0;0;0;0;0;0;0;OR000020006745;;0;;;0:00:00;0:00:00;7:00:00;7:00:00;;;;15/3/2021;;;;1;;;;0:00:00;0:00:00;11:10:33;;;;;;;;;;;;3;ME;O4 - Blanco [Baja];;;;;0;;;;;;;;;;;;;;
;20006772;PM15;7/6/2011;;Reiteración del aviso sap 10072180;;30;UYU;ACQUISTAPACE;18/6/2011;MSABATIN;15/3/2021;S;ANC1;C002;20;ANC1;;;PP-PC1;;;;4;;;;C002;CME;PMA;C002;;;;0:00:00;0:00:00;205300;C001;;;;LT-COMERC-COMERC;;;;;;CTEC KKMP NLIQ PREC;CANC;;29/7/2011;20/6/2011;20/6/2011;;;15/3/2021;MAN;10117042;;;Gerencia Comercialización;;;;;;;;;0;0;0;0;0;0;0;OR000020006772;;0;;;0:00:00;0:00:00;7:00:00;7:00:00;;;;15/3/2021;;;;1;;;;0:00:00;0:00:00;11:11:04;;;;;;;;;;;;3;ME;O4 - Blanco [Baja];;;;;0;;;;;;;;;;;;;;
;20007491;PM15;5/8/2011;;Reparacion vivienda Jef Da Costa;;30;UYU;MALDAMA;5/8/2011;JSIMO;27/4/2021;S;ANC1;C002;20;ANC1;103408;;PP-PC1;;;;4;;;;C002;CME;ARQUITEC;C002;;;;0:00:00;0:00:00;205460;C009;;;PAY;LT-LOGIST-PAYSAN-MANEDI;;;;;;CTEC NOTP KKMP NLIQ PREC;FINA;;;13/9/2011;31/8/2011;2/8/2011;;31/8/2011;MAN;10120387;;;Mantenimiento Edilicio-Planta Paysandu;;;;;;;;;177554,96;133809,6;0;0;0;177554,96;133809,6;OR000020007491;;0;;;0:00:00;0:00:00;15:00:00;7:00:00;;;;27/4/2021;;;;1;;;;0:00:00;0:00:00;9:42:34;;;;;;;;;;;;3;ME;O4 - Blanco [Baja];;;;;0;;;;;;;;;;;;;;
;20007722;PM15;26/8/2011;;REMODELACION EN ODONTOLOGIA;;30;UYU;MALDAMA;29/8/2011;JSIMO;16/6/2021;S;ANC1;C002;10;ANC1;103408;;PP-PC1;;;EQUIPO MECÁNICO ESTÁTICO;4;;;;C002;CME;ARQUITEC;C002;;;;0:00:00;0:00:00;103494;C002;;;;AN-MEDICO-ODONTO;;;;;;CTEC KKMP NLIQ PREC;FINA;;;31/8/2011;31/8/2011;;;16/6/2021;MAN;10121534;;;Odontologia Centro;;;;;;;;;5500;0;0;0;0;5500;0;OR000020007722;;0;;;0:00:00;0:00:00;7:00:00;7:00:00;;;;16/6/2021;;;;1;;;;0:00:00;0:00:00;11:54:02;;;;;;;;;;;;3;ME;O4 - Blanco [Baja];;;;;0;;;;;;;;;;;;;;
;20007723;PM15;26/8/2011;;REMODELACION EN ARCHIVO Y ADMINISTRACION;;30;UYU;MALDAMA;29/8/2011;JSIMO;27/4/2021;S;ANC1;C002;10;ANC1;103408;;PP-PC1;;;EQUIPO MECÁNICO ESTATICO;4;;;;C002;CME;ARQUITEC;C002;;;;0:00:00;0:00:00;103490;C002;;;;AN-SGENER-MEDICO;;;;;;CTEC NOTP KKMP NLIQ PREC;FINA;;;13/9/2011;31/8/2011;9/8/2011;;31/8/2011;MAN;10121535;;;Servicio Medico;;;;;;;;;72163,38;133809,6;0;0;0;72163,38;133809,6;OR000020007723;;0;;;0:00:00;0:00:00;15:00:00;7:00:00;;;;27/4/2021;;;;1;;;;0:00:00;0:00:00;9:43:20;;;;;;;;;;;;3;ME;O4 - Blanco [Baja];;;;;0;;;;;;;;;;;;;;
;20007825;PM15;2/9/2011;;Reparacion de cortina veneciana;;30;UYU;MALDAMA;5/9/2011;MSABATIN;24/3/2021;S;ANC1;C002;10;ANC1;103404;;PP-PC1;;;EQUIPO MECÁNICO ESTÁTICO;4;;;;C002;CME;CARPINTE;C002;;;;0:00:00;0:00:00;105016;C002;;;;AN-RINSTI-RSE;;;;;;CTEC KKMP NLIQ PREC;CANC;;;5/9/2011;5/9/2011;;;24/3/2021;MAN;10121890;;;Responsabilidad Social Empresarial;;;;;;;;;0;0;0;0;0;0;0;OR000020007825;;0;;;0:00:00;0:00:00;7:00:00;7:00:00;;;;24/3/2021;;;;1;;;;0:00:00;0:00:00;11:25:54;;;;;;;;;;;;3;ME;O4 - Blanco [Baja];;;;;0;;;;;;;;;;;;;;
;20007826;PM15;2/9/2011;;REPARACIONES SANITARIAS VARIAS;;30;UYU;MALDAMA;5/9/2011;MSABATIN;24/3/2021;S;ANC1;C002;10;ANC1;103403;;PP-PC1;;;EQUIPO MECÁNICO ESTATICO;4;;;;C002;CME;SANITARI;C002;;;;0:00:00;0:00:00;103496;C001;;;;LT-MEDICO-MEDTEJ;;;;;;CTEC KKMP NLIQ PREC;CANC;;;5/9/2011;5/9/2011;;;24/3/2021;MAN;;;;Servicio Medico Teja;;;;;;;;;0;0;0;0;0;0;0;OR000020007826;;0;;;0:00:00;0:00:00;7:00:00;7:00:00;;;;24/3/2021;;;;0;;;;0:00:00;0:00:00;11:25:31;;;;;;;;;;;;3;ME;O4 - Blanco [Baja];;;;;0;;;;;;;;;;;;;;
;20007828;PM15;5/9/2011;;RRHH Nuevas Salas de Capacitacion;;30;UYU;MALDAMA;5/9/2011;JSIMO;27/4/2021;S;ANC1;C002;20;ANC1;;;PP-PC1;;;EQUIPO MECÁNICO ESTATICO;4;;;;C002;CME;PMA;C002;;;;0:00:00;0:00:00;105052;C001;;;;LT-RECHUM-CAPTEJ;;;;;;CTEC NOTP KKMP MMGO NLIQ PREC;FINA;;;15/9/2011;13/9/2011;20/12/2011;;12/9/2011;MAN;10121941;;;Capacitacion Teja;;;;;;;;;12364,68;3413,02;0;0;0;12364,68;3413,02;OR000020007828;;0;20007828;;0:00:00;0:00:00;9:00:00;7:00:00;;;;27/4/2021;;;;1;;;;0:00:00;0:00:00;9:44:17;;;;;;;;;;;;3;ME;O4 - Blanco [Baja];;;;;0;;;;;;;;;;;;;;
;20007832;PM15;5/9/2011;;Implantación de escultura y placa;;30;UYU;MALDAMA;5/9/2011;GESCUDER;18/5/2021;S;ANC1;C002;10;ANC1;103408;;PP-PC1;;;EQUIPO MECÁNICO ESTATICO;4;;;;C002;CME;ARQUITEC;C002;;;;0:00:00;0:00:00;105011;C002;;;;AN-DIRECT;;;;;;CTEC KKMP MOVM NLIQ PREC;FINA;;;5/9/2011;5/9/2011;;;24/3/2021;MAN;10121957;;;Directorio de ANCAP;;;;;;;;;1130405,23;0;0;0;0;1130405,23;0;OR000020007832;;0;;;0:00:00;0:00:00;7:00:00;7:00:00;;;;24/3/2021;;;;1;;;;0:00:00;0:00:00;11:24:48;;;;;;;;;;;;3;ME;O4 - Blanco [Baja];;;;;0;;;;;;;;;;;;;;
;20007868;PM15;6/9/2011;;INT.REPARAR PUERTA  DE MADERA;;30;UYU;MALDAMA;7/9/2011;MSABATIN;24/3/2021;S;ANC1;C002;10;ANC1;;;PP-PC1;;;EQUIPO MECÁNICO ESTATICO;4;;;;C002;CME;CARPINTE;C002;;;;0:00:00;0:00:00;105700;C002;;;;LT-SGENER-GUARDE;;;;;;CTEC KKMP NLIQ PREC;CANC;;;7/9/2011;7/9/2011;;;24/3/2021;MAN;10122002;;;Guarderia Teja;;;;;;;;;0;0;0;0;0;0;0;OR000020007868;;0;;;0:00:00;0:00:00;7:00:00;7:00:00;;;;24/3/2021;;;;1;;;;0:00:00;0:00:00;11:26:18;;;;;;;;;;;;3;ME;O4 - Blanco [Baja];;;;;0;;;;;;;;;;;;;;
;20008247;PM15;1/10/2011;;CONSTRUIR DOS ALEROS FRENTE A SERV. II;;30;UYU;GGIAGNACOVO;5/10/2011;MSABATIN;24/3/2021;S;ANC1;C002;20;ANC1;103408;;PP-PC1;;;EQUIPO MECÁNICO ESTATICO;4;;;;C002;CME;PMA;C002;;;;0:00:00;0:00:00;203320;C001;;;;LT-MANREF-SERV 2;;;;;;CTEC KKMP MMGO NLIQ PREC;FINA;;;5/10/2011;5/10/2011;;;20/10/2017;MAN;10123316;;;Taller de Servicio II;;;;;;;;;0;155,7;0;0;0;0;155,7;OR000020008247;;0;20008247;;0:00:00;0:00:00;7:40:00;7:00:00;;;;24/3/2021;;;;1;;;;0:00:00;0:00:00;11:26:48;;;;;;;;;;;;3;ME;O4 - Blanco [Baja];;;;;0;;;;;;;;;;;;;;
;20008543;PM15;26/10/2011;;Colocar puerta en depósito de Gcia;;30;UYU;MALDAMA;27/10/2011;MSABATIN;24/3/2021;S;ANC1;C002;10;ANC1;103404;;PP-PC1;;;EQUIPO MECÁNICO ESTATICO;4;;;;C002;CME;CARPINTE;C002;;;;0:00:00;0:00:00;105070;C002;;;;AN-SCOMPA-TINFOR;;;;;;CTEC KKMP NLIQ PREC;CANC;;;27/10/2011;27/10/2011;;;24/3/2021;MAN;10124291;;;Tecnologia de la Informacion;;;;;;;;;0;0;0;0;0;0;0;OR000020008543;;0;;;0:00:00;0:00:00;7:00:00;7:00:00;;;;24/3/2021;;;;1;;;;0:00:00;0:00:00;11:27:11;;;;;;;;;;;;3;ME;O4 - Blanco [Baja];;;;;0;;;;;;;;;;;;;;
;20008587;PM15;28/10/2011;;Reparacion  techo en Laguna del Barro;;30;UYU;MALDAMA;31/10/2011;MSABATIN;15/3/2021;S;ANC1;C002;20;ANC1;;;PP-PC1;;;EQUIPO MECÁNICO ESTATICO;4;;;;C002;CME;ARQUITEC;C002;;;;0:00:00;0:00:00;202010;C005;;;;TE-T ESTE;;;;;;CTEC KKMP NLIQ PREC;CANC;;;31/10/2011;31/10/2011;;;15/3/2021;MAN;10124562;;;Terminal del Este;;;;;;;;;0;0;0;0;0;0;0;OR000020008587;;0;;;0:00:00;0:00:00;7:00:00;7:00:00;;;;15/3/2021;;;;1;;;;0:00:00;0:00:00;11:12:06;;;;;;;;;;;;3;ME;O4 - Blanco [Baja];;;;;0;;;;;;;;;;;;;;
;20008602;PM15;31/10/2011;;Fiscalía La Teja, Rep. techo y desague;;30;UYU;MALDAMA;1/11/2011;MSABATIN;15/3/2021;S;ANC1;C002;10;ANC1;;;PP-PC1;;;EQUIPO MECÁNICO ESTÁTICO;4;;;;C002;CME;ARQUITEC;C002;;;;0:00:00;0:00:00;105508;C001;;;;AN-CONTRO-CONCAF-FISTEJ;;;;;;CTEC KKMP NLIQ PREC;CANC;;4/11/2011;1/11/2011;1/11/2011;;;15/3/2021;MAN;10124568;;;Fiscalia La Teja;;;;;;;;;0;0;0;0;0;0;0;OR000020008602;;0;;;0:00:00;0:00:00;7:00:00;7:00:00;;;;15/3/2021;;;;1;;;;0:00:00;0:00:00;11:12:43;;;;;;;;;;;;3;ME;O4 - Blanco [Baja];;;;;0;;;;;;;;;;;;;;
;20008683;PM15;7/11/2011;;Ampliar Oficina Laguna Sauce;;30;UYU;MALDAMA;8/11/2011;MSABATIN;15/3/2021;S;ANC1;C002;20;ANC1;;;PP-PC1;;;;4;;;;C002;CME;ARQUITEC;C002;;;;0:00:00;0:00:00;205441;C003;;;;LT-LOGIST-LAGSAU;;;;;;CTEC KKMP NLIQ PREC;CANC;;;8/11/2011;8/11/2011;;;15/3/2021;MAN;10124846;;;Planta de Laguna del Sauce;;;;;;;;;0;0;0;0;0;0;0;OR000020008683;;0;;;0:00:00;0:00:00;7:00:00;7:00:00;;;;15/3/2021;;;;1;;;;0:00:00;0:00:00;11:13:08;;;;;;;;;;;;3;ME;O4 - Blanco [Baja];;;;;0;;;;;;;;;;;;;;
;20008965;PM15;30/11/2011;;Adquisición y reciclaje edif A.E.C.N.;;30;UYU;MALDAMA;30/11/2011;MSABATIN;15/3/2021;;ANC1;C002;10;ANC1;103410;;PP-PC1;;;EQUIPO MECÁNICO ESTÁTICO;4;;;;C002;CME;PMA;C002;;;;0:00:00;0:00:00;105090;C002;;;;AN-SCOMPA-INGEDI;;;;;;CTEC KKMP NLIQ PREC;CANC;;;30/11/2011;30/11/2011;;;15/3/2021;MAN;10125639;;;Infraestructura General Edificio Central;;;;;;;;;0;0;0;0;0;0;0;OR000020008965;;0;;;0:00:00;0:00:00;7:00:00;7:00:00;;;;15/3/2021;;;;1;;;;0:00:00;0:00:00;11:13:37;;;;;;;;;;;;3;ME;O4 - Blanco [Baja];;;;;0;;;;;;;;;;;;;;
;20009146;PM15;16/12/2011;;EX EMPLEADOS CIVILES/ AECN;;30;UYU;MALDAMA;16/12/2011;JSIMO;27/4/2021;S;ANC1;C002;10;ANC1;103408;;PP-PC1;;;EQUIPO MECÁNICO ESTATICO;2;;;;C002;CME;ARQUITEC;C002;;;;0:00:00;0:00:00;105061;C002;;;;AN-SGENER-MANEDI;;;;;;CTEC NOTP KKMP NLIQ PREC;FINA;;;14/3/2013;30/5/2012;24/5/2012;;30/5/2012;MAN;10126319;;;Mantenimiento Edilicio;;;;;;;;;339633,46;1372051,8;0;0;0;339633,46;1372051,8;OR000020009146;;0;;;0:00:00;0:00:00;15:00:00;7:00:00;;;;27/4/2021;;;;1;;;;0:00:00;0:00:00;9:45:14;;;;;;;;;;;;3;ME;O2 - Azul  [Alta];;;;;0;;;;;;;;;;;;;;
;20009282;PM15;26/12/2011;;MONTAJE ANTENA COMUNICACIONES  AZOTEA;;30;UYU;MALDAMA;27/12/2011;JSIMO;27/4/2021;S;ANC1;C002;10;ANC1;103408;;PP-PC1;;;EQUIPO MECÁNICO ESTATICO;4;;;;C002;CME;ARQUITEC;C002;;;;0:00:00;0:00:00;205464;C002;;;;AN-SGENER-VIGILA;;;;;;CTEC NOTP KKMP NLIQ PREC;FINA;;;12/1/2012;29/12/2011;21/12/2011;;29/12/2011;MAN;10126589;;;Vigilancia;;;;;;;;;99547,3;6024,46;0;0;0;99547,3;6024,46;OR000020009282;;0;;;0:00:00;0:00:00;15:00:00;7:00:00;;;;27/4/2021;;;;1;;;;0:00:00;0:00:00;9:45:48;;;;;;;;;;;;3;ME;O4 - Blanco [Baja];;;;;0;;;;;;;;;;;;;;
;20009283;PM15;26/12/2011;;Construcción de cielo raso Stipanicic;;30;UYU;MALDAMA;27/12/2011;JSIMO;27/4/2021;S;ANC1;C002;10;ANC1;103408;;PP-PC1;;;EQUIPO MECÁNICO ESTATICO;4;;;;C002;CME;ARQUITEC;C002;;;;0:00:00;0:00:00;105024;C002;;;;AN-NDIVER-NARGEN;;;;;;CTEC NOTP KKMP NLIQ PREC;FINA;;;31/1/2012;20/1/2012;2/1/2012;;20/1/2012;MAN;10126588;;;Negocios Argentina;;;;;;;;;15968,13;5836,7;0;0;0;15968,13;5836,7;OR000020009283;;0;;;0:00:00;0:00:00;15:00:00;7:00:00;;;;27/4/2021;;;;1;;;;0:00:00;0:00:00;9:46:35;;;;;;;;;;;;3;ME;O4 - Blanco [Baja];;;;;0;;;;;;;;;;;;;;
;20009464;PM15;11/1/2012;;Reparación aire acondicionado;;30;UYU;MALDAMA;11/1/2012;MSABATIN;15/3/2021;S;ANC1;C002;10;ANC1;103408;;PP-PC1;;;EQUIPO MECÁNICO ESTATICO;4;;;;C002;CME;ARQUITEC;C002;;;;0:00:00;0:00:00;105120;C002;;;;AN-SCOMPA-SJURID;;;;;;CTEC KKMP NLIQ PREC;CANC;;11/1/2012;11/1/2012;11/1/2012;;;15/3/2021;MAN;10127226;;;Servicios Juridicos;;;;;;;;;0;0;0;0;0;0;0;OR000020009464;;0;;;0:00:00;0:00:00;7:00:00;7:00:00;;;;15/3/2021;;;;1;;;;0:00:00;0:00:00;11:13:58;;;;;;;;;;;;3;ME;O4 - Blanco [Baja];;;;;0;;;;;;;;;;;;;;
;20010763;PM15;14/5/2012;;Impermebilización de azoteas de Of. Adm.;;30;UYU;MALDAMA;22/5/2012;JSIMO;27/4/2021;S;ANC1;C002;42;ANC1;103408;;PP-PC1;;;EQUIPO MECÁNICO ESTATICO;4;;;;C002;CME;ARQUITEC;C002;;;;0:00:00;0:00:00;425500;P003;;;;AN-PTLAND-PAYSAN-OFADM;;;;;;CTEC KKMP MOVM NLIQ PREC;FINA;;14/7/2012;10/7/2012;21/6/2012;;;21/6/2012;MAN;10134030;;;Oficina Administrativa;;;;;;;;;332587,62;31386,48;0;0;0;332587,62;31386,48;OR000020010763;;0;;;0:00:00;0:00:00;9:40:00;7:00:00;;;;27/4/2021;;;;1;;;;0:00:00;0:00:00;9:50:36;;;;;;;;;;;;3;ME;O4 - Blanco [Baja];;;;;0;;;;;;;;;;;;;;
