Línea seleccionada;Orden;Clase de orden;Fecha de inicio extrema;Alerta;Texto breve;Alerta Com;Tipo de orden;Moneda;Autor;Fecha entrada;Modificado por;Fecha modific.maestro orden;Existe texto explic.;Sociedad;Centro;División;Sociedad CO;CeCo responsable;Petición de borrado;Esquema cálc.coste;Clave de recargo;Indicador ABC;Campo de clasificación;Prioridad;Equipo;Conjunto;Estado instalación;Centro planificación;Grupo planificación;Pto.tbjo.responsable;Ctro.pto.trab.;Cliente;Disponible hst.fecha;Disponible dsd fecha;Disponible hst.hora;Disponible dsd hora;Centro de coste;Centro emplazamiento;Emplazamiento;Local;Área de empresa;Ubicación técnica;Activo fijo;Subnúmero;Revisión;Plan mant.preventivo;Posición mantenim.;Status del sistema;Status de usuario;Puesto de trabajo;Fecha fin extrema;Fin programado;Inicio programado;Fecha inicio real;Fecha real de fin de la orden;Fe.liberación real;Clase actividad PM;Aviso;Histórico desde;Denominación de objeto técnico;Denominación de la ubicación técnica;Lista;Teléfono;Código postal;Población;Distrito;Clave de país;Departamento;Calle;Costes tot.reales;Suma de costes plan;Tot.costes facturac.;Ingresos tot. real;Ingr. totales plan;Total general (real);Tota general (plan);Nº objeto;Documento de ventas;Posición;Orden principal;Orden superior;Fin real (hora);Hora inicio real;Hora de fin progr.;Hora de inicio prog.;Grupo hojas ruta;Cont.grupo HRuta;Ind.planif.orden;Fecha de referencia;Elemento PEP;Subgrafo;Operación superior;Tot. Avisos;Organización ventas;Canal distribución;Sector;Hora de fin extrema;Hora inicio extrema;Hora de referencia;Criterio p.cálculo;Nº dirección;Material;Número de serie;Dat.adic.disposit.;Oficina de ventas;Grupo de vendedores;Texto breve de material;Denominación del conjunto;Status paging;Cabecera orden PEP;Reserva/Sol.pedido;Clase prioridad;Texto para prioridad;Nº de pedido;Fecha de pedido;Producto de servicio;Denominación producto servicio;Cantidad;Unidad medida base;Forma de facturación;Gr.planif.mantenimiento HRuta;Centro de beneficio;Elemento refer.PM/PS;Organización ventas - Comercial;Canal distribución - Comercial;Sector - Comercial;Indicador ABC;Nro Moc;Revision 2;Revision 3;Fecha;Proyecto
;20000255;PM15;4/1/2010;;OT DE ACTIVIDAD DE TALLER METALURGIA;;30;UYU;LHERNANDEZ;8/1/2010;JSIMO;4/1/2021;;ANC1;C002;10;ANC1;103411;;PP-PC1;;;;;;;;C002;CME;METALURG;C002;;;;0:00:00;0:00:00;103411;C002;;;;AN-SGENER-MANEDI-METALU;;;;;;CTEC NOTP KKMP MOVM NLIQ PREC;FINA;;;30/8/2017;4/1/2010;4/1/2010;;8/1/2010;MAN;;;;Taller de Metalurgia;;;;;;;;;2392277,89;0;0;0;0;2392277,89;0;OR000020000255;;0;;;0:00:00;0:00:00;0:00:00;0:00:00;;;;4/1/2021;;;;0;;;;0:00:00;0:00:00;14:55:34;;;;;;;;;;;;3;ME;;;;;;0;;;;;;;;;;;;;;
;20000257;PM15;4/1/2010;;OT DE ACTIVIDAD DE TALLER SANITARIA;;30;UYU;LHERNANDEZ;8/1/2010;JSIMO;4/1/2021;;ANC1;C002;10;ANC1;103411;;PP-PC1;;;EQUIPO MECÁNICO ESTATICO;;;;;C002;CME;SANITARI;C002;;;;0:00:00;0:00:00;103411;C002;;;;AN-SGENER-MANEDI-SANITA;;;;;;CTEC NOTP IMPR MACO MOVM NLIQ PREC;FINA;;;26/2/2019;4/1/2010;4/1/2010;;8/1/2010;MAN;;;;Taller de Sanitaria;;;;;;;;;18603802,97;36000,6;0;0;0;18603802,97;36000,6;OR000020000257;;0;;;0:00:00;0:00:00;0:00:00;0:00:00;;;;4/1/2021;;;;0;;;;0:00:00;0:00:00;14:55:59;;;;;;;;;;;;3;ME;;;;;;0;;;;;;;;;;;;;;
;20000258;PM15;4/1/2010;;OT DE ACTIVIDAD DE TALLER ELECTRICIDA;;30;UYU;LHERNANDEZ;8/1/2010;MSABATIN;4/1/2021;;ANC1;C002;10;ANC1;103411;;PP-PC1;;;;;;;;C002;CME;ELECTRIC;C002;;;;0:00:00;0:00:00;103411;C002;;;;AN-SGENER-MANEDI-ELECTR;;;;;;CTEC NOTP KKMP MOVM NLIQ PREC;FINA;;;2/10/2020;26/2/2010;3/2/2010;;8/1/2010;MAN;;;;Taller de Electricidad;;;;;;;;;264062,5;0;0;0;0;264062,5;0;OR000020000258;;0;;;0:00:00;0:00:00;7:00:00;0:00:00;;;;4/1/2021;;;;0;;;;0:00:00;0:00:00;15:36:25;;;;;;;;;;;;3;ME;;;;;;0;;;;;;;;;;;;;;
;20000259;PM15;10/12/2020;;OT DE ACTIVIDAD TALLER A. ACONDICIONADO;;30;UYU;LHERNANDEZ;8/1/2010;MSABATIN;4/1/2021;;ANC1;C002;10;ANC1;103411;;PP-PC1;;;;;;;;C002;CME;AIREACON;C002;;;;0:00:00;0:00:00;103411;C002;;;;AN-SGENER-MANEDI-AIRACO;;;;;;CTEC NOTP KKMP NLIQ PREC;FINA;;;10/12/2020;4/1/2010;4/1/2010;;8/1/2010;MAN;;;;Taller de Aire Acondicionado;;;;;;;;;21084411,54;79200;0;0;0;21084411,54;79200;OR000020000259;;0;;;0:00:00;0:00:00;7:00:00;0:00:00;;;;4/1/2021;;;;0;;;;0:00:00;0:00:00;15:32:42;;;;;;;;;;;;3;ME;;;;;;0;;;;;;;;;;;;;;
;20000260;PM15;4/1/2010;;OT DE ACTIVIDAD PROFESIONALES;;30;UYU;LHERNANDEZ;8/1/2010;MSABATIN;4/1/2021;;ANC1;C002;10;ANC1;103412;;PP-PC1;;;;;;;;C002;CME;PMA;C002;;;;0:00:00;0:00:00;103412;C002;;;;AN-MANEDI;;;;;;CTEC NOTP KKMP MOVM NLIQ PREC;FINA;;;29/9/2020;4/1/2010;4/1/2010;;8/1/2010;MAN;;;;Mantenimiento Edilicio;;;;;;;;;18493516,82;0;0;0;0;18493516,82;0;OR000020000260;;0;;;0:00:00;0:00:00;0:00:00;0:00:00;;;;4/1/2021;;;;0;;;;0:00:00;0:00:00;15:34:43;;;;;;;;;;;;3;ME;;;;;;0;;;;;;;;;;;;;;
;20000263;PM15;2/2/2010;;PINTURA GENERAL;;30;UYU;MALDAMA;11/1/2010;MSABATIN;15/3/2021;S;ANC1;C002;20;ANC1;103401;;PP-PC1;;;;4;;;;C002;CME;ARQUITEC;C002;;;;0:00:00;0:00:00;205430;C007;;;TRE;LT-LOGIST-TYTRES-MANEDI;;;;;;CTEC KKMP NLIQ PREC;CANC;;;15/3/2021;15/3/2021;;;15/3/2021;MAN;10079482;;;Mantenimiento Edilicio-Planta T.y Tres;;;;;;;;;0;0;0;0;0;0;0;OR000020000263;;0;;;0:00:00;0:00:00;7:00:00;7:00:00;;;;15/3/2021;;;;1;;;;0:00:00;0:00:00;11:07:14;;;;;;;;;;;;3;ME;O4 - Blanco [Baja];;;;;0;;;;;;;;;;;;;;
;20000286;PM15;12/1/2010;;Construcción Baños y Duchas TYT;;30;UYU;MALDAMA;12/1/2010;MSABATIN;15/3/2021;S;ANC1;C002;20;ANC1;103408;;PP-PC1;;;;4;;;;C002;CME;ARQUITEC;C002;;;;0:00:00;0:00:00;205430;C007;;;TRE;LT-LOGIST-TYTRES-MANEDI;;;;;;CTEC KKMP NLIQ PREC;CANC;;;12/1/2010;12/1/2010;;;15/3/2021;MAN;10079547;;;Mantenimiento Edilicio-Planta T.y Tres;;;;;;;;;0;0;0;0;0;0;0;OR000020000286;;0;;;0:00:00;0:00:00;7:00:00;7:00:00;;;;15/3/2021;;;;1;;;;0:00:00;0:00:00;11:14:36;;;;;;;;;;;;3;ME;O4 - Blanco [Baja];;;;;0;;;;;;;;;;;;;;
;20000637;PM15;28/1/2010;;Ampliación Oficinas Dpto Programac. Log.;;30;UYU;GPUIG;12/2/2010;MSABATIN;15/3/2021;S;ANC1;C002;10;ANC1;103410;;PP-PC1;;;EQUIPO MECÁNICO ESTATICO;4;;;;C002;CME;PMA;C002;;;;0:00:00;0:00:00;205405;C001;;;LOG;LT-ENERGI-LOGIST-PROGRA;;;;;;CTEC KKMP NLIQ PREC;CANC;;28/12/2010;15/3/2021;15/3/2021;;;18/5/2010;MAN;10080266;;;Programacion Logistica;;;;;;;;;0;0;0;0;0;0;0;OR000020000637;;0;20000637;;0:00:00;0:00:00;0:00:00;0:00:00;;;;15/3/2021;;;;1;;;;0:00:00;0:00:00;11:16:00;;;;;;;;;;;;3;ME;O4 - Blanco [Baja];;;;;0;;;;;;;;;;;;;;
;20000640;PM15;29/1/2010;;Galpón de Contingencias para SERV. II;;30;UYU;GPUIG;12/2/2010;MSABATIN;12/3/2021;S;ANC1;C002;10;ANC1;103410;;PP-PC1;;;EQUIPO MECÁNICO ESTATICO;4;;;;C002;CME;PMA;C002;;;;0:00:00;0:00:00;203320;C001;;;;LT-MANREF-SERV 2;;;;;;CTEC KKMP MMGO NLIQ PREC;CANC;;;12/3/2021;12/3/2021;;;20/10/2017;MAN;10080312;;;Taller de Servicio II;;;;;;;;;0;0;0;0;0;0;0;OR000020000640;;0;20000640;;0:00:00;0:00:00;7:00:00;7:00:00;;;;12/3/2021;;;;1;;;;0:00:00;0:00:00;16:09:24;;;;;;;;;;;;3;ME;O4 - Blanco [Baja];;;;;0;;;;;;;;;;;;;;
;20000641;PM15;1/2/2010;;Reparación del techo deposito ex-de lubr;;30;UYU;GPUIG;12/2/2010;MSABATIN;15/3/2021;S;ANC1;C002;10;ANC1;103410;;PP-PC1;;;EQUIPO MECÁNICO ESTATICO;4;;;;C002;CME;PMA;C002;;;;0:00:00;0:00:00;105061;C002;;;;AN-SGENER-MANEDI;;;;;;CTEC KKMP NLIQ PREC;CANC;;;12/2/2010;12/2/2010;;;15/3/2021;MAN;10080391;;;Mantenimiento Edilicio;;;;;;;;;0;0;0;0;0;0;0;OR000020000641;;0;;;0:00:00;0:00:00;7:00:00;7:00:00;;;;15/3/2021;;;;1;;;;0:00:00;0:00:00;11:16:30;;;;;;;;;;;;3;ME;O4 - Blanco [Baja];;;;;0;;;;;;;;;;;;;;
;20000845;PM15;3/3/2010;;REMODELACION CONSULTORIO 7MO PISO;;30;UYU;MALDAMA;3/3/2010;MSABATIN;9/3/2021;S;ANC1;C002;10;ANC1;103408;;PP-PC1;;;EQUIPO MECÁNICO ESTÁTICO;4;;;;C002;CME;ARQUITEC;C002;;;;0:00:00;0:00:00;103492;C002;;;;AN-MEDICO-MEDPRE;;;;;;CTEC NOTP IMPR KKMP NLIQ PREC;FINA;;;19/4/2010;22/3/2010;3/3/2010;;23/3/2010;MAN;10081836;;;Medicina Preventiva Centro;;;;;;;;;108298,78;187094,96;0;0;0;108298,78;187094,96;OR000020000845;;0;;;0:00:00;0:00:00;9:40:00;7:00:00;;;;9/3/2021;;;;1;;;;0:00:00;0:00:00;16:17:27;;;;;;;;;;;;3;ME;O4 - Blanco [Baja];;;;;0;;;;;;;;;;;;;;
